#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.40915    9.62434       7   10.427    4.661    4.661   11.248    0.119    1.706    0.072    0.072    0.262    0.009    0.015    0.032    0.041    0.039    0.032    0.048
    0.42051   -7.09898       3    4.332   11.865   11.865    1.542    0.103    0.030    0.226    0.226    0.072    0.015    0.002    0.018    0.004    0.002    0.016    0.011
    0.42051   -5.89899       4    0.070    6.035    6.035   17.698    0.108    0.295    0.065    0.065    0.086    0.009    0.027    0.005    0.001    0.019    0.001    0.008
    0.42051    6.16739       5    1.107    7.164    7.164    4.639    1.001    0.006    0.836    0.836    0.382    0.021    0.004    0.018    0.003    0.007    0.023    0.025
    0.42051    7.00917       6   11.512    4.049    4.049    6.306    0.230    0.016    0.974    0.974    0.547    0.039    0.032    0.010    0.018    0.012    0.019    0.006
    0.42051    9.41068       7   10.719    4.455    4.455   10.999    0.120    1.729    0.079    0.079    0.277    0.009    0.014    0.032    0.039    0.036    0.032    0.048
    0.43188   -6.93617       3    4.077   12.108   12.108    1.442    0.102    0.031    0.231    0.231    0.071    0.016    0.002    0.018    0.003    0.003    0.017    0.011
    0.43188   -5.80799       4    0.060    5.995    5.995   17.947    0.101    0.306    0.066    0.066    0.085    0.009    0.028    0.005    0.001    0.020    0.001    0.008
    0.43188    6.15918       5    1.039    7.477    7.477    4.310    0.997    0.004    0.838    0.838    0.379    0.020    0.003    0.018    0.003    0.007    0.023    0.024
    0.43188    6.96245       6   11.567    4.060    4.060    6.275    0.229    0.018    0.970    0.970    0.550    0.040    0.033    0.009    0.016    0.012    0.018    0.006
    0.43188    9.19626       7   11.016    4.233    4.233   10.816    0.121    1.744    0.085    0.085    0.293    0.010    0.012    0.032    0.036    0.033    0.031    0.050
    0.44324   -6.77505       3    3.823   12.350   12.350    1.343    0.101    0.032    0.235    0.235    0.070    0.016    0.001    0.019    0.003    0.003    0.017    0.012
    0.44324   -5.71922       4    0.050    5.943    5.943   18.203    0.096    0.313    0.068    0.068    0.086    0.009    0.028    0.006    0.000    0.020    0.001    0.008
    0.44324    6.16549       5    0.976    7.767    7.767    3.963    1.003    0.003    0.834    0.834    0.378    0.020    0.003    0.018    0.003    0.006    0.023    0.023
    0.44324    6.92347       6   11.542    4.044    4.044    6.306    0.227    0.020    0.969    0.969    0.557    0.040    0.034    0.008    0.015    0.011    0.017    0.005
    0.44324    8.98637       7   11.357    4.006    4.006   10.599    0.122    1.760    0.092    0.092    0.305    0.010    0.011    0.032    0.034    0.030    0.030    0.050
    0.45461   -6.59055       3    3.566   12.552   12.552    1.233    0.098    0.031    0.234    0.234    0.067    0.017    0.001    0.015    0.002    0.004    0.020    0.009
    0.45461   -5.60383       4    0.041    5.860    5.860   18.405    0.083    0.322    0.072    0.072    0.084    0.008    0.026    0.007    0.000    0.018    0.001    0.011
    0.45461    6.17874       5    0.911    8.064    8.064    3.617    0.999    0.003    0.821    0.821    0.374    0.020    0.003    0.017    0.003    0.006    0.023    0.021
    0.45461    6.89015       6   11.489    4.022    4.022    6.346    0.226    0.022    0.975    0.975    0.565    0.040    0.034    0.006    0.015    0.011    0.017    0.004
    0.45461    8.77980       7   11.725    3.770    3.770   10.393    0.123    1.773    0.099    0.099    0.316    0.011    0.009    0.032    0.033    0.028    0.029    0.050
    0.46597   -6.43530       3    3.301   12.798   12.798    1.136    0.098    0.031    0.239    0.239    0.065    0.017    0.001    0.015    0.002    0.005    0.020    0.009
    0.46597   -5.52400       4    0.034    5.807    5.807   18.651    0.078    0.329    0.074    0.074    0.085    0.008    0.026    0.007    0.000    0.018    0.001    0.011
    0.46597    6.19104       5    0.844    8.357    8.357    3.284    1.005    0.002    0.817    0.817    0.372    0.020    0.003    0.016    0.003    0.006    0.023    0.020
    0.46597    6.85463       6   11.412    4.013    4.013    6.406    0.225    0.025    0.972    0.972    0.572    0.040    0.034    0.005    0.015    0.010    0.016    0.004
    0.46597    8.57751       7   12.123    3.525    3.525   10.195    0.124    1.784    0.106    0.106    0.325    0.011    0.008    0.032    0.031    0.025    0.029    0.050
    0.47734   -6.28380       3    3.032   13.046   13.046    1.039    0.097    0.030    0.243    0.243    0.063    0.017    0.001    0.015    0.002    0.005    0.021    0.009
    0.47734   -5.44833       4    0.027    5.755    5.755   18.888    0.073    0.335    0.076    0.076    0.085    0.008    0.026    0.007    0.000    0.019    0.001    0.012
    0.47734    6.20565       5    0.775    8.650    8.650    2.958    1.010    0.002    0.814    0.814    0.371    0.020    0.003    0.016    0.003    0.005    0.023    0.019
    0.47734    6.82092       6   11.301    4.009    4.009    6.486    0.224    0.029    0.969    0.969    0.581    0.040    0.034    0.005    0.014    0.010    0.016    0.003
    0.47734    8.38041       7   12.557    3.273    3.273    9.997    0.124    1.792    0.114    0.114    0.332    0.012    0.007    0.032    0.030    0.023    0.028    0.050
